Year-Month,ZIP CODE,Median Sales
2018-12,10003.0,995000.0
2018-12,10004.0,956000.0
2018-12,10005.0,1609134.0
2018-12,10006.0,798000.0
2018-12,10007.0,7738700.0
2018-12,10009.0,1986075.0
2018-12,10010.0,1800000.0
2018-12,10011.0,915000.0
2018-12,10012.0,2995000.0
2018-12,10013.0,4553500.0
2018-12,10014.0,950000.0
2018-12,10016.0,875428.0
2018-12,10017.0,581500.0
2018-12,10018.0,3565000.0
2018-12,10019.0,650000.0
2018-12,10021.0,977500.0
2018-12,10022.0,2109345.5
2018-12,10023.0,1120000.0
2018-12,10024.0,1512500.0
2018-12,10025.0,1133500.0
2018-12,10026.0,3500000.0
2018-12,10027.0,2900000.0
2018-12,10028.0,1200000.0
2018-12,10029.0,4810500.0
2018-12,10030.0,19250000.0
2018-12,10031.0,548463.5
2018-12,10032.0,601296.0
2018-12,10033.0,585000.0
2018-12,10034.0,399000.0
2018-12,10035.0,9251897.0
2018-12,10036.0,2388000.0
2018-12,10037.0,426337.0
2018-12,10038.0,1065000.0
2018-12,10039.0,2402500.0
2018-12,10040.0,381450.0
2018-12,10044.0,700287.5
2018-12,10065.0,1457500.0
2018-12,10069.0,1412500.0
2018-12,10075.0,805000.0
2018-12,10128.0,1360000.0
2018-12,10280.0,1313628.0
2018-12,10301.0,620000.0
2018-12,10302.0,479000.0
2018-12,10303.0,315750.0
2018-12,10304.0,437500.0
2018-12,10305.0,547500.0
2018-12,10306.0,577981.0
2018-12,10307.0,789000.0
2018-12,10308.0,612500.0
2018-12,10309.0,600000.0
2018-12,10310.0,494000.0
2018-12,10312.0,585000.0
2018-12,10314.0,499900.0
2018-12,10451.0,425000.0
2018-12,10452.0,601250.0
2018-12,10453.0,970000.0
2018-12,10454.0,825000.0
2018-12,10455.0,1700000.0
2018-12,10456.0,400000.0
2018-12,10457.0,745000.0
2018-12,10458.0,547153.5
2018-12,10459.0,335037.0
2018-12,10460.0,730000.0
2018-12,10461.0,615000.0
2018-12,10462.0,179950.0
2018-12,10463.0,397500.0
2018-12,10464.0,580250.0
2018-12,10465.0,502500.0
2018-12,10466.0,442500.0
2018-12,10467.0,390000.0
2018-12,10468.0,925000.0
2018-12,10469.0,526500.0
2018-12,10470.0,267500.0
2018-12,10471.0,315000.0
2018-12,10472.0,509640.0
2018-12,10473.0,455000.0
2018-12,10474.0,1100000.0
2018-12,10475.0,445000.0
2018-12,11001.0,582000.0
2018-12,11004.0,600000.0
2018-12,11005.0,499000.0
2018-12,11040.0,650000.0
2018-12,11101.0,1110000.0
2018-12,11102.0,696302.0
2018-12,11103.0,665000.0
2018-12,11104.0,905000.0
2018-12,11105.0,960000.0
2018-12,11106.0,570000.0
2018-12,11109.0,750000.0
2018-12,11201.0,1389000.0
2018-12,11203.0,544000.0
2018-12,11204.0,710000.0
2018-12,11205.0,821500.0
2018-12,11206.0,730210.0
2018-12,11207.0,500000.0
2018-12,11208.0,575000.0
2018-12,11209.0,950000.0
2018-12,11210.0,564500.0
2018-12,11211.0,1095000.0
2018-12,11212.0,580000.0
2018-12,11213.0,620000.0
2018-12,11214.0,700000.0
2018-12,11215.0,1310000.0
