Year-Month,zip,Median Sales
2003-11,11235,277000.0
2003-11,11236,235000.0
2003-11,11238,257820.0
2003-12,10001,408500.0
2003-12,10002,332500.0
2003-12,10003,655000.0
2003-12,10007,1170777.0
2003-12,10009,430000.0
2003-12,10011,442500.0
2003-12,10012,925000.0
2003-12,10013,1286406.5
2003-12,10014,550437.0
2003-12,10016,340000.0
2003-12,10017,410000.0
2003-12,10018,385125.0
2003-12,10019,910000.0
2003-12,10020,365000.0
2003-12,10021,527500.0
2003-12,10022,490000.0
2003-12,10023,560038.0
2003-12,10025,525000.0
2003-12,10026,575311.0
2003-12,10027,208000.0
2003-12,10028,415740.0
2003-12,10029,560000.0
2003-12,10030,162899.5
2003-12,10031,275000.0
2003-12,10032,219000.0
2003-12,10034,262500.0
2003-12,10037,263133.0
2003-12,10038,405600.0
2003-12,10039,380000.0
2003-12,10044,446654.0
2003-12,10065,542000.0
2003-12,10069,475000.0
2003-12,10103,565000.0
2003-12,10110,332500.0
2003-12,10111,1210000.0
2003-12,10119,350000.0
2003-12,10152,468196.5
2003-12,10153,916425.0
2003-12,10154,345000.0
2003-12,10162,515000.0
2003-12,10167,393500.0
2003-12,10171,328500.0
2003-12,10199,294257.0
2003-12,10271,546375.0
2003-12,10278,1135000.0
2003-12,10280,682228.0
2003-12,10468,198000.0
2003-12,11201,415000.0
2003-12,11204,263000.0
2003-12,11205,250000.0
2003-12,11206,375180.0
2003-12,11209,180000.0
2003-12,11210,125000.0
2003-12,11211,354799.0
2003-12,11213,352000.0
2003-12,11214,171000.0
2003-12,11215,338500.0
2003-12,11217,240225.0
2003-12,11218,215000.0
2003-12,11219,350000.0
2003-12,11220,152500.0
2003-12,11223,152000.0
2003-12,11224,272766.0
2003-12,11226,140000.0
2003-12,11229,148250.0
2003-12,11230,115000.0
2003-12,11231,525000.0
2003-12,11235,404000.0
2003-12,11236,226000.0
2003-12,11238,345000.0
2003-2,10001,605000.0
2003-2,10002,340000.0
2003-2,10003,431250.0
2003-2,10007,725000.0
2003-2,10009,293750.0
2003-2,10011,396000.0
2003-2,10012,479000.0
2003-2,10013,1275000.0
2003-2,10014,470000.0
2003-2,10016,337500.0
2003-2,10017,405000.0
2003-2,10018,337500.0
2003-2,10019,525000.0
2003-2,10020,382500.0
2003-2,10021,565000.0
2003-2,10022,401000.0
2003-2,10023,532500.0
2003-2,10025,455000.0
2003-2,10026,211808.0
2003-2,10027,243822.0
2003-2,10028,302021.0
2003-2,10029,367500.0
2003-2,10030,205000.0
2003-2,10031,372500.0
2003-2,10032,210000.0
2003-2,10034,261500.0
2003-2,10037,204184.0
2003-2,10038,388000.0
2003-2,10044,420000.0
2003-2,10065,522750.0
2003-2,10069,514827.0
2003-2,10103,500750.0
2003-2,10110,392396.0
2003-2,10111,1800000.0
2003-2,10152,300000.0
2003-2,10153,450000.0
2003-2,10154,383500.0
2003-2,10162,625000.0
2003-2,10171,327000.0
2003-2,10199,348816.0
2003-2,10271,563750.0
2003-2,10278,1360000.0
2003-2,10280,327500.0
2003-2,10468,220000.0
2003-2,11201,365750.0
2003-2,11204,143247.5
2003-2,11205,278850.0
2003-2,11206,290000.0
2003-2,11209,170000.0
2003-2,11210,110591.5
2003-2,11211,302275.0
2003-2,11212,270000.0
2003-2,11213,229000.0
2003-2,11214,208000.0
2003-2,11215,306500.0
2003-2,11216,165000.0
2003-2,11217,462717.5
2003-2,11218,276315.0
2003-2,11219,399009.0
2003-2,11220,205192.5
2003-2,11223,184145.0
2003-2,11226,140000.0
2003-2,11228,350000.0
2003-2,11229,130000.0
2003-2,11230,153000.0
2003-2,11231,300000.0
2003-2,11235,205689.0
2003-2,11236,241500.0
2003-2,11238,304200.0
2003-3,10001,562650.0
2003-3,10002,264500.0
2003-3,10003,402500.0
2003-3,10007,765000.0
2003-3,10009,325000.0
2003-3,10011,418500.0
2003-3,10012,493000.0
2003-3,10013,1300000.0
2003-3,10014,327500.0
2003-3,10016,300000.0
2003-3,10017,397000.0
2003-3,10018,470000.0
2003-3,10019,765000.0
2003-3,10021,625000.0
2003-3,10022,423750.0
2003-3,10023,530000.0
2003-3,10024,482000.0
2003-3,10025,467500.0
2003-3,10026,255000.0
2003-3,10027,271707.0
2003-3,10028,460000.0
2003-3,10029,442000.0
2003-3,10030,207000.0
2003-3,10031,405000.0
2003-3,10032,160000.0
2003-3,10034,260000.0
2003-3,10037,188044.0
2003-3,10038,474489.0
2003-3,10039,226000.0
2003-3,10044,415000.0
2003-3,10065,525000.0
2003-3,10069,596357.5
2003-3,10103,812500.0
2003-3,10110,339500.0
2003-3,10153,760000.0
2003-3,10154,751502.5
2003-3,10162,625000.0
2003-3,10171,550000.0
2003-3,10199,367068.0
2003-3,10271,182000.0
2003-3,10278,645000.0
2003-3,10280,276000.0
2003-3,10468,193890.0
2003-3,11201,525000.0
2003-3,11204,202800.0
2003-3,11205,220000.0
2003-3,11206,288990.0
2003-3,11209,145000.0
2003-3,11210,119000.0
2003-3,11211,202840.0
2003-3,11213,247500.0
2003-3,11214,304200.0
2003-3,11215,389750.0
2003-3,11217,352943.0
2003-3,11218,234000.0
2003-3,11219,280000.0
2003-3,11220,245000.0
2003-3,11222,417918.0
2003-3,11223,140370.0
2003-3,11224,180500.0
2003-3,11226,130000.0
2003-3,11229,131500.0
2003-3,11230,164063.0
2003-3,11231,535000.0
2003-3,11235,161250.0
2003-3,11236,205000.0
2003-3,11238,278000.0
2003-4,10001,604260.0
2003-4,10002,325250.0
2003-4,10003,402500.0
2003-4,10005,292500.0
2003-4,10007,1071406.5
2003-4,10009,370000.0
2003-4,10011,535000.0
2003-4,10012,1300000.0
2003-4,10013,1756481.0
2003-4,10014,650000.0
2003-4,10016,280000.0
2003-4,10017,378750.0
2003-4,10018,223615.0
2003-4,10019,500431.0
2003-4,10020,315000.0
2003-4,10021,613750.0
2003-4,10022,440000.0
2003-4,10023,475000.0
2003-4,10024,568000.0
2003-4,10025,384500.0
2003-4,10026,247500.0
2003-4,10027,378212.0
2003-4,10028,480000.0
2003-4,10029,480000.0
2003-4,10030,311165.0
2003-4,10031,415000.0
2003-4,10032,300000.0
2003-4,10034,277500.0
2003-4,10037,305817.5
2003-4,10038,351296.0
2003-4,10039,153700.0
2003-4,10044,380000.0
2003-4,10065,650000.0
2003-4,10069,660000.0
2003-4,10103,1114984.0
2003-4,10110,327500.0
2003-4,10153,760000.0
2003-4,10154,982611.0
2003-4,10162,500000.0
2003-4,10171,413750.0
2003-4,10199,443625.0
2003-4,10278,350000.0
2003-4,10280,745000.0
2003-4,10468,190601.0
2003-4,11201,457000.0
2003-4,11203,188036.0
2003-4,11204,180000.0
2003-4,11205,302100.0
2003-4,11206,319495.0
2003-4,11209,203750.0
2003-4,11210,110000.0
2003-4,11211,225000.0
2003-4,11214,200000.0
2003-4,11215,401000.0
2003-4,11217,422000.0
2003-4,11218,217500.0
2003-4,11219,335000.0
2003-4,11220,190000.0
2003-4,11222,200000.0
2003-4,11223,127303.0
2003-4,11224,282383.5
2003-4,11226,134250.0
2003-4,11229,135000.0
2003-4,11230,126500.0
2003-4,11231,236740.0
2003-4,11235,347295.0
2003-4,11236,162500.0
2003-4,11237,495000.0
2003-4,11238,225564.0
2003-5,10001,559974.5
2003-5,10002,300000.0
2003-5,10003,482500.0
2003-5,10005,335000.0
2003-5,10007,1317090.5
2003-5,10009,395000.0
2003-5,10011,480000.0
2003-5,10012,665000.0
2003-5,10013,1027500.0
2003-5,10014,625000.0
2003-5,10016,295000.0
2003-5,10017,355500.0
2003-5,10018,427500.0
2003-5,10019,690000.0
2003-5,10020,364541.0
2003-5,10021,660000.0
2003-5,10022,405000.0
2003-5,10023,465000.0
2003-5,10024,554219.0
2003-5,10025,405000.0
2003-5,10026,239700.0
2003-5,10027,299500.0
2003-5,10028,389000.0
2003-5,10029,346633.5
2003-5,10030,187000.0
2003-5,10031,275000.0
2003-5,10032,176706.0
2003-5,10034,272000.0
2003-5,10037,223534.0
2003-5,10038,470000.0
2003-5,10044,566809.0
2003-5,10065,499499.5
2003-5,10069,691251.0
2003-5,10103,1436645.5
2003-5,10110,468232.5
2003-5,10111,1600000.0
2003-5,10119,642750.0
2003-5,10152,385000.0
2003-5,10153,542500.0
2003-5,10154,850000.0
2003-5,10162,585000.0
2003-5,10167,330000.0
2003-5,10171,395000.0
2003-5,10199,405600.0
2003-5,10271,489000.0
